Symbol,Name,Country,Sector,Industry
CPS,Cooper-Standard Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
OVV,Ovintiv Inc. (DE),Canada,Energy,Oil & Gas Production
OWL,Blue Owl Capital Inc. Class A Common Stock,United States,Finance,Investment Managers
CPK,Chesapeake Utilities Corporation Common Stock,United States,Utilities,Oil & Gas Production
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),Canada,Energy,Oil & Gas Production
OXM,Oxford Industries Inc. Common Stock,United States,Consumer Discretionary,Apparel
CPF,Central Pacific Financial Corp New,United States,Finance,Major Banks
CPE,Callon Petroleum Company Common Stock,United States,Energy,Oil & Gas Production
CPA,Copa Holdings S.A. Class A Common Stock,Panama,Consumer Discretionary,Air Freight/Delivery Services
COP,ConocoPhillips Common Stock,United States,Energy,Integrated oil Companies
OXY,Occidental Petroleum Corporation Common Stock,United States,Energy,Oil & Gas Production
HGV,Hilton Grand Vacations Inc. Common Stock ,United States,Consumer Discretionary,Hotels/Resorts
OZK,Bank OZK Common Stock,United States,Finance,Major Banks
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
PAC,Grupo Aeroportuario Del Pacifico S.A. B. de C.V. Grupo Aeroportuario Del Pacifico S.A. de C.V. (each representing 10 Series B shares),Mexico,,
PAG,Penske Automotive Group Inc. Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
PAI,Western Asset Investment Grade Income Fund Inc.,United States,Finance,Trusts Except Educational Religious and Charitable
COR,Cencora Inc. Common Stock,United States,Health Care,Other Pharmaceuticals
PCB,PCB Bancorp Common Stock,United States,Finance,Major Banks
GPS,Gap Inc. (The) Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
HES,Hess Corporation Common Stock,United States,Energy,Integrated oil Companies
PEB,Pebblebrook Hotel Trust 5.700% Series H Cumulative Redeemable Preferred Shares of Beneficial Interest,United States,,
PDO,PIMCO Dynamic Income Opportunities Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
PDS,Precision Drilling Corporation Common Stock,Canada,Energy,Oil & Gas Production
PDT,John Hancock Premium Dividend Fund,United States,Finance,Finance Companies
PDX,PIMCO Dynamic Income Strategy Fund Common Shares of Beneficial Interest,,Finance,Finance/Investors Services
PED,Pedevco Corp. Common Stock,United States,Energy,Oil & Gas Production
HEQ,John Hancock Hedged Equity & Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
PEG,Public Service Enterprise Group Incorporated Common Stock,United States,Utilities,Electric Utilities: Central
CNS,Cohen & Steers Inc Common Stock,United States,Finance,Investment Managers
CNQ,Canadian Natural Resources Limited Common Stock,Canada,Energy,Oil & Gas Production
GRF,Eagle Capital Growth Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,United States,Utilities,Electric Utilities: Central
PEN,Penumbra Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
PEO,Adams Natural Resources Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
PEP,PepsiCo Inc. Common Stock,United States,Consumer Staples,Beverages (Production/Distribution)
PDM,Piedmont Office Realty Trust Inc. Class A Common Stock,United States,Real Estate,Building operators
PDI,PIMCO Dynamic Income Fund Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
CNX,CNX Resources Corporation Common Stock,United States,Energy,Oil & Gas Production
PDD,PDD Holdings Inc. American Depositary Shares,China,Consumer Discretionary,Business Services
PCF,High Income Securities Fund Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
PCG,Pacific Gas & Electric Co. Common Stock,United States,Utilities,Power Generation
PCH,PotlatchDeltic Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
PCK,Pimco California Municipal Income Fund II Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
PCM,PCM Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
PCN,Pimco Corporate & Income Strategy Fund Common Stock,United States,Finance,Investment Managers
PCQ,PIMCO California Municipal Income Fund Common Stock,United States,Finance,Investment Managers
PCT,PureCycle Technologies Inc. Common stock,United States,Utilities,Environmental Services
GRC,Gorman-Rupp Company (The) Common Stock,United States,Industrials,Fluid Controls
CLB,Core Laboratories Inc. Common Stock,Netherlands,Energy,Oilfield Services/Equipment
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada),Canada,Basic Materials,Metal Mining
OUT,OUTFRONT Media Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
QSI,Quantum-Si Incorporated Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
GSL,Global Ship Lease Inc New Class A Common Shares,United Kingdom,Consumer Discretionary,Marine Transportation
QLI,Qilian International Holding Group Ltd. Ordinary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations
CDE,Coeur Mining Inc. Common Stock,United States,Basic Materials,Precious Metals
CCZ,Comcast Holdings ZONES,United States,Telecommunications,Cable & Other Pay Television Services
CCU,Compania Cervecerias Unidas S.A. Common Stock,Chile,Consumer Staples,Beverages (Production/Distribution)
CCS,Century Communities Inc. Common Stock,United States,Consumer Discretionary,Homebuilding
QSG,QuantaSing Group Limited American Depositary Shares,China,Real Estate,Other Consumer Services
GWH,ESS Tech Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components
CDP,COPT Defense Properties Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
QSR,Restaurant Brands International Inc. Common Shares,Canada,Consumer Discretionary,Restaurants
CCO,Clear Channel Outdoor Holdings Inc. Common Stock,United States,Consumer Discretionary,Advertising
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),China,Health Care,Medical/Nursing Services
CCL,Carnival Corporation Common Stock,United States,Consumer Discretionary,Marine Transportation
CCK,Crown Holdings Inc.,United States,Industrials,Containers/Packaging
GVP,GSE Systems Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
CCJ,Cameco Corporation Common Stock,Canada,Basic Materials,Other Metals and Minerals
CCI,Crown Castle Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
GWW,W.W. Grainger Inc. Common Stock,United States,Industrials,Office Equipment/Supplies/Services
HAL,Halliburton Company Common Stock,United States,Energy,Oilfield Services/Equipment
CEI,Camber Energy Inc. Common Stock,United States,Energy,Oil & Gas Production
GSD,Global Systems Dynamics Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
PWP,Perella Weinberg Partners Class A Common Stock,United States,Finance,Finance: Consumer Services
PWR,Quanta Services Inc. Common Stock,United States,Industrials,Engineering & Construction
HAE,Haemonetics Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
PXD,Pioneer Natural Resources Company Common Stock,United States,Energy,Oil & Gas Production
CEM,ClearBridge MLP and Midstream Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
PXS,Pyxis Tankers Inc. Common Stock,Greece,Consumer Discretionary,Marine Transportation
PYN,PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest,United States,Finance,Investment Managers
CEG,Constellation Energy Corporation Common Stock ,United States,Utilities,Electric Utilities: Central
CDR,Cedar Realty Trust Inc. 7.25% Series B Cumulative Redeemable Preferred Stock,United States,,
PYT,PPlus Tr GSC-2 Tr Ctf Fltg Rate,United States,Finance,Finance: Consumer Services
CEE,The Central and Eastern Europe Fund Inc. (The) Common Stock,United States,Finance,Finance Companies
PZC,PIMCO California Municipal Income Fund III Common Shares of Beneficial Interest,United States,Finance,Investment Managers
PZG,Paramount Gold Nevada Corp. Common Stock,United States,Basic Materials,Metal Mining
GXO,GXO Logistics Inc. Common Stock ,United States,Consumer Discretionary,Transportation Services
CDW,CDW Corporation Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
CDT,Conduit Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CCG,Cheche Group Inc. Class A Ordinary Shares,China,,
CCD,Calamos Dynamic Convertible & Income Fund Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
RBA,RB Global Inc. Common Stock,Canada,,
CAT,Caterpillar Inc. Common Stock,United States,Industrials,Construction/Ag Equipment/Trucks
CBH,Virtus Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,Brazil,Consumer Staples,Food Chains
RCS,PIMCO Strategic Income Fund Inc.,United States,Finance,Investment Managers
GTN,Gray Television Inc. Common Stock,United States,Industrials,Broadcasting
RDI,Reading International Inc Class A Common Stock,United States,Consumer Discretionary,Movies/Entertainment
RDN,Radian Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
RDW,Redwire Corporation Common Stock,United States,Industrials,Military/Government/Technical
RDY,Dr. Reddy's Laboratories Ltd Common Stock,India,Health Care,Biotechnology: Pharmaceutical Preparations
REE,REE Automotive Ltd. Class A Ordinary Shares,Israel,Consumer Discretionary,Auto Manufacturing
RBB,RBB Bancorp Common Stock,United States,Finance,Major Banks
REG,Regency Centers Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
REI,Ring Energy Inc. Common Stock,United States,Energy,Oil & Gas Production
CAR,Avis Budget Group Inc. Common Stock,United States,Consumer Discretionary,Rental/Leasing Companies
RES,RPC Inc. Common Stock,United States,Energy,Oilfield Services/Equipment
CAN,Canaan Inc. American Depositary Shares,China,Technology,Semiconductors
REX,REX American Resources Corporation,United States,Industrials,Major Chemicals
CAL,Caleres Inc. Common Stock,United States,Consumer Discretionary,Shoe Manufacturing
GTE,Gran Tierra Energy Inc. Common Stock,Canada,Energy,Oil & Gas Production
RCM,R1 RCM Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services
RCL,Royal Caribbean Cruises Ltd. Common Stock,United States,Consumer Discretionary,Marine Transportation
GTX,Garrett Motion Inc. Common Stock,Switzerland,Consumer Discretionary,Auto Parts:O.E.M.
CBL,CBL & Associates Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
GVH,Globavend Holdings Limited Ordinary Shares,Australia,,
RBC,RBC Bearings Incorporated Common Stock,United States,Industrials,Metal Fabrications
CCB,Coastal Financial Corporation Common Stock,United States,Finance,Major Banks
GVA,Granite Construction Incorporated Common Stock,United States,Industrials,Military/Government/Technical
CBZ,CBIZ Inc. Common Stock,United States,Consumer Discretionary,Business Services
GUT,Gabelli Utility Trust (The) 5.375% Series C Cumulative Preferred Shares,United States,,
RBT,Rubicon Technologies Inc. Class A Common Stock,,Technology,Semiconductors
GSM,Ferroglobe PLC Ordinary Shares,United Kingdom,Basic Materials,Metal Mining
GUG,Guggenheim Active Allocation Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
GTY,Getty Realty Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
CBU,Community Bank System Inc. Common Stock,United States,Finance,Major Banks
CBT,Cabot Corporation Common Stock,United States,Industrials,Major Chemicals
RCB,Ready Capital Corporation 6.20% Senior Notes due 2026,United States,Real Estate,Real Estate Investment Trusts
RCC,Ready Capital Corporation 5.75% Senior Notes due 2026,United States,Real Estate,Real Estate Investment Trusts
RCG,RENN Fund Inc Common Stock,United States,Finance,Investment Managers
RCI,Rogers Communication Inc. Common Stock,Canada,Telecommunications,Cable & Other Pay Television Services
PWM,Prestige Wealth Inc. Ordinary Shares,Hong Kong,,
PVL,Permianville Royalty Trust Trust Units ,United States,Energy,Oil & Gas Production
CKX,CKX Lands Inc. Common Stock,United States,Energy,Oil & Gas Production
CHX,ChampionX Corporation Common Stock ,United States,Industrials,Industrial Machinery/Components
CIG,Comp En De Mn Cemig ADS American Depositary Shares,Brazil,Utilities,Electric Utilities: Central
CIF,MFS Intermediate High Income Fund Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
PRG,PROG Holdings Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
CIB,BanColombia S.A. Common Stock,Colombia,Finance,Commercial Banks
PRH,Prudential Financial Inc. 5.950% Junior Subordinated Notes due 2062,United States,Finance,Life Insurance
PRI,Primerica Inc. Common Stock,United States,Finance,Life Insurance
CIA,Citizens Inc. Class A Common Stock ($1.00 Par),United States,Finance,Life Insurance
CHY,Calamos Convertible and High Income Fund Common Stock,United States,Finance,Investment Managers
CHW,Calamos Global Dynamic Income Fund Common Stock,United States,Finance,Investment Managers
PRE,Prenetics Global Limited Class A Ordinary Share,Hong Kong,Industrials,Biotechnology: Laboratory Analytical Instruments
CHT,Chunghwa Telecom Co. Ltd.,Taiwan,Telecommunications,Telecommunications Equipment
PRK,Park National Corporation Common Stock,United States,Finance,Major Banks
CHS,Chico's FAS Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
PRM,Perimeter Solutions SA Ordinary Shares,Luxembourg,Consumer Discretionary,Newspapers/Magazines
CHR,Cheer Holding Inc. Ordinary Share,China,Technology,EDP Services
PRO,PROS Holdings Inc. Common Stock,United States,Technology,EDP Services
CHN,China Fund Inc. (The) Common Stock,United States,Finance,Investment Managers
CHK,Chesapeake Energy Corporation Common Stock,United States,Energy,Oil & Gas Production
CII,Blackrock Capital and Income Fund Inc.,United States,Finance,Investment Bankers/Brokers/Service
PVH,PVH Corp. Common Stock,United States,Consumer Discretionary,Apparel
PPG,PPG Industries Inc. Common Stock,United States,Consumer Discretionary,Paints/Coatings
POL,Polished Inc. Common Stock,United States,Consumer Discretionary,Home Furnishings
HBI,Hanesbrands Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
HBB,Hamilton Beach Brands Holding Company Class A Common Stock ,,Consumer Discretionary,Home Furnishings
CIX,CompX International Inc. Common Stock,United States,Consumer Discretionary,Industrial Machinery/Components
POR,Portland General Electric Co Common Stock,United States,Utilities,Electric Utilities: Central
CIO,City Office REIT Inc. 6.625% Series A Cumulative Redeemable Preferred Stock,Canada,,
PPC,Pilgrim's Pride Corporation Common Stock,United States,Consumer Staples,Meat/Poultry/Fish
PPL,PPL Corporation Common Stock,United States,Utilities,Electric Utilities: Central
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
PPT,Putnam Premier Income Trust Common Stock,United States,Finance,Finance Companies
CIM,Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,
GRX,The Gabelli Healthcare & Wellness Trust Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
PRA,ProAssurance Corporation Common Stock,United States,Finance,Property-Casualty Insurers
PRS,Prudential Financial Inc. 5.625% Junior Subordinated Notes due 2058,United States,Finance,Life Insurance
CHI,Calamos Convertible Opportunities and Income Fund Common Stock,United States,Finance,Investment Managers
CHH,Choice Hotels International Inc. Common Stock,United States,Consumer Discretionary,Hotels/Resorts
CFG,Citizens Financial Group Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series E,United States,,
PSO,Pearson Plc Common Stock,United Kingdom,Consumer Discretionary,Books
CGC,Canopy Growth Corporation Common Shares,Canada,Health Care, Medicinal Chemicals and Botanical Products 
CGA,China Green Agriculture Inc. Common Stock,China,Industrials,Agricultural Chemicals
PSX,Phillips 66 Common Stock,United States,Energy,Integrated oil Companies
PTA,Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
PTC,PTC Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
CFR,Cullen/Frost Bankers Inc. Depositary Shares each representing a 1/40th ownership interest in a share of 4.450% non-cumulative perpetual preferred stock Series B,United States,,
PRT,PermRock Royalty Trust Trust Units,United States,Energy,Oil & Gas Production
PTN,Palatin Technologies Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CFB,CrossFirst Bankshares Inc. Common Stock,United States,Finance,Major Banks
HAS,Hasbro Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
PTY,Pimco Corporate & Income Opportunity Fund,United States,Finance,Investment Managers
PUK,Prudential Public Limited Company Common Stock,United Kingdom,Finance,Life Insurance
CET,Central Securities Corporation Common Stock,United States,Finance,Finance/Investors Services
PSN,Parsons Corporation Common Stock,United States,Technology,EDP Services
CGO,Calamos Global Total Return Fund Common Stock,United States,Finance,Investment Managers
PSF,Cohen & Steers Select Preferred and Income Fund Inc. Common Stock,,Finance,Investment Managers
PSA,Public Storage Depositary Shares Each Representing 1/1000 of a 4.100% Cumulative Preferred Share of Beneficial Interest Series S,United States,,
CHE,Chemed Corp,United States,Health Care,Medical/Nursing Services
PRU,Prudential Financial Inc. Common Stock,United States,Finance,Life Insurance
CHD,Church & Dwight Company Inc. Common Stock,United States,Consumer Discretionary,Package Goods/Cosmetics
GPK,Graphic Packaging Holding Company,United States,Consumer Discretionary,Containers/Packaging
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,United States,Energy,Natural Gas Distribution
CPT,Camden Property Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
NOK,Nokia Corporation Sponsored American Depositary Shares,Finland,Technology,Radio And Television Broadcasting And Communications Equipment
DFH,Dream Finders Homes Inc. Class A Common Stock,United States,Consumer Discretionary,Homebuilding
NNI,Nelnet Inc. Common Stock,United States,Finance,Finance: Consumer Services
NNN,NNN REIT Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
DEO,Diageo plc Common Stock,United Kingdom,Consumer Staples,Beverages (Production/Distribution)
NNY,Nuveen New York Municipal Value Fund Common Stock,United States,Finance,Investment Managers
NOA,North American Construction Group Ltd. Common Shares (no par),Canada,Energy,Oilfield Services/Equipment
NOC,Northrop Grumman Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
NOG,Northern Oil and Gas Inc. Common Stock,United States,Energy,Oil & Gas Production
NOM,Nuveen Missouri Quality Municipal Income Fund ,United States,Finance,Investment Managers
DFS,Discover Financial Services Common Stock,United States,Finance,Finance: Consumer Services
DEI,Douglas Emmett Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
GNS,Genius Group Limited Ordinary Shares,Singapore,Real Estate,Other Consumer Services
NOV,NOV Inc. Common Stock,United States,Industrials,Metal Fabrications
DEC,Diversified Energy Company plc Ordinary Shares,,,
DEA,Easterly Government Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
GNT,GAMCO Natural Resources Gold & Income Trust,United States,Finance,Finance/Investors Services
DDT,Dillard's Capital Trust I,United States,Consumer Discretionary,Department/Specialty Retail Stores
NOW,ServiceNow Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,,Finance,Investment Managers
HON,Honeywell International Inc. Common Stock,United States,Industrials,Aerospace
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),Cayman Islands,Consumer Discretionary,Catalog/Specialty Distribution
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,,Finance,Finance/Investors Services
GNL,Global Net Lease Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
DHF,BNY Mellon High Yield Strategies Fund Common Stock,United States,Finance,Finance Companies
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
NMG,Nouveau Monde Graphite Inc. Common Shares,,,
NMI,Nuveen Municipal Income Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
HOV,Hovnanian Enterprises Inc. Class A Common Stock,United States,Consumer Discretionary,Homebuilding
NMK,Niagara Mohawk Holdings Inc. Preferred Stock,United States,,
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,Greece,Consumer Discretionary,Marine Transportation
NMR,Nomura Holdings Inc ADR American Depositary Shares,Japan,Finance,Investment Bankers/Brokers/Service
DGX,Quest Diagnostics Incorporated Common Stock,United States,Health Care,Medical Specialities
NMS,Nuveen Minnesota Quality Municipal Income Fund ,United States,Finance,Finance Companies
NMT,Nuveen Massachusetts Quality Municipal Income Fund Common Stock,United States,Finance,Finance/Investors Services
NMZ,Nuveen Municipal High Income Opportunity Fund Common Stock $0.01 par value per share,United States,Finance,Finance/Investors Services
DDS,Dillard's Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,South Korea,Technology,EDP Services
NLY,Annaly Capital Management Inc 6.750% Series I Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,
